gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3159386	372.4212942	-0.820276417	0.229483246	-3.574450122	0.000350965	0.02260012
C3160360	77.82139711	1.270020401	0.339906068	3.736386371	0.000186684	0.015903947
C3162256	150.0656263	-0.882153267	0.272275907	-3.239924077	0.001195615	0.049673987
C3163034	62.42241478	2.038093978	0.58544261	3.481287393	0.00049901	0.029025161
C3163460	425.3726385	1.026568416	0.246156593	4.17038766	3.04E-05	0.004749309
C3163476	1786.044099	1.153749043	0.233483883	4.941450469	7.75E-07	0.000284349
C3164444	146.0354017	1.401049702	0.325786834	4.3005105	1.70E-05	0.00312434
C3164982	131.698766	1.293758651	0.247005598	5.237770556	1.63E-07	9.14E-05
C3165730	196.9807801	1.682463389	0.346416141	4.856769619	1.19E-06	0.000402525
C3168612	124.8599377	-1.344428932	0.280329644	-4.795885709	1.62E-06	0.000487839
C3168758	33.54813912	-1.592310968	0.399314253	-3.987613653	6.67E-05	0.008041365
C3169142	2015.797896	0.913677523	0.214407913	4.261398331	2.03E-05	0.003496698
C3169318	85.84866403	-0.93053935	0.277449698	-3.353902917	0.000796803	0.039961721
C3170718	192.8665445	1.133916405	0.215732823	5.256114425	1.47E-07	8.86E-05
C3172262	39.05681081	1.483358384	0.414376907	3.579732261	0.000343946	0.022487164
C3172494	119.0309058	1.440649581	0.421342964	3.419185094	0.00062809	0.033957115
C3172514	221.7121415	-1.104967114	0.288783888	-3.826276878	0.000130096	0.012033808
C3174198	215.622925	0.755105334	0.231387356	3.263382011	0.00110091	0.04821215
C3176434	57.86458116	2.025529765	0.426291931	4.751508569	2.02E-06	0.000587194
C3178554	8423.594103	-0.800971561	0.245579254	-3.261560368	0.001108008	0.04821215
C3182158	24.7390725	1.560823863	0.460958992	3.386036263	0.0007091	0.037326942
C3182940	75.37049026	1.002729077	0.308907082	3.246054031	0.001170166	0.04910041
C3184890	448.0845525	-1.304921171	0.360429529	-3.620461329	0.000294078	0.021381514
C3185330	1644.453137	2.496300673	0.419351979	5.952757582	2.64E-09	4.45E-06
C3185392	24.34358781	2.190372691	0.672542531	3.256853789	0.001126544	0.048724492
C3185880	75.08289877	-1.347774279	0.40314215	-3.343173813	0.00082826	0.040851141
C3189770	136.2413177	1.496706359	0.447657986	3.343414854	0.000827541	0.040851141
C3189938	102.9017223	-1.375841803	0.356574883	-3.858493319	0.000114088	0.011454997
C3190494	158.6863337	1.108684635	0.309269516	3.584849382	0.000337273	0.022223115
