baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3044377	78.8391022690421	-1.28609707751902	0.319617208749919	-4.02386680788929	5.7250303198798e-05	0.00426593292812503
C3044637	11.2422006988659	-2.24518322395322	0.683147288817712	-3.28652877747468	0.00101430409415934	0.0276558094630046
C3044935	281.809232262932	-0.801244648529914	0.262509900558507	-3.05224544607733	0.0022713628993418	0.0453825461187387
C3045123	53.2058667920651	-1.22945325677277	0.353267133539867	-3.48023673884743	0.000500970897782058	0.0177172634581459
C3045593	14.7516093232662	1.781694001803	0.56531611832608	3.15167734307428	0.00162335549048547	0.0363731969722462
C3046729	174.383393569994	-1.39478374478467	0.367638092663569	-3.79390431138227	0.00014829684304407	0.00795096416116569
C3048615	28.4818074075081	1.57818698763312	0.51377459701293	3.07174974552781	0.00212808057632279	0.0434751516764403
C3048711	178.936441673391	1.37784794569517	0.367134464215895	3.7529790308243	0.000174745477424753	0.00875125540367395
C3048831	21.1203152005666	1.57097968693524	0.517749505456299	3.03424661999573	0.00241137218756341	0.0469777882989801
C3049031	150.794627902646	-0.71258290575339	0.236553415939239	-3.01235517113152	0.00259229100528698	0.0489111618314954
C3049147	71.2376749545859	-0.980111662314479	0.257936774295237	-3.79981359770218	0.000144804965561283	0.00781792766195222
C3049201	613.522671356943	-1.17682096730419	0.191829504254838	-6.13472349769945	8.53074359066441e-10	8.65870474452438e-07
C3049593	16.2312951693934	1.65785123683514	0.468788751528771	3.53645694660698	0.000405532594333696	0.0155326635188189
C3051407	15.94526724792	-1.89959475604404	0.491913054417974	-3.86164737646904	0.000112625041489445	0.00648742722560215
C3052891	42.1731983004799	1.74906876750205	0.549807290958811	3.18123967481741	0.00146646252762829	0.0342729032880093
C3054031	113.482738288226	-1.08339274008493	0.308365809560111	-3.51333613032652	0.000442517280092741	0.0164346386941112
C3055981	152.699416602777	0.812770399728117	0.244138484430511	3.3291367464004	0.000871156206089729	0.0248377401455358
C3056981	114.10654856606	-1.18327278060323	0.284749555279852	-4.15548596534349	3.24596870746292e-05	0.00291562675935829
C3057271	167.864004327809	-0.633438340093918	0.192814651946674	-3.28521890685521	0.00101903165571384	0.0276558094630046
C3057671	151.983174927766	-0.657692655046236	0.208877084166166	-3.14870660738939	0.00163994751443358	0.036583444552749
C3058797	275.159437081499	-0.600864886393068	0.197149459126056	-3.04776330128747	0.00230551449179128	0.0456159300032778
C3058963	100.376284783108	-1.77810525346483	0.399380110244917	-4.45216275886754	8.50096893294265e-06	0.00105225408133375
C3059569	51.5393365729241	1.35733427472753	0.423425006937547	3.20560725627555	0.00134777806718585	0.0328844888988855
C3059623	22.3057851802296	1.90346327422577	0.479059047685271	3.9733374902801	7.08725182151463e-05	0.00476394741644857
C3060173	587.0495418653	-1.06822336225736	0.35539004899281	-3.0057773572579	0.00264902882529677	0.0496081966360927
C3062771	132.455225094461	-0.719114410193748	0.202747285146708	-3.54685099567867	0.000389865025446557	0.0152784942404732
C3063023	243.680831002773	-0.84238907796458	0.242605295672123	-3.47226170653362	0.000516092958788845	0.0179395326428314
C3063243	56.3126979509735	1.2810610130753	0.353444030438952	3.62450884086036	0.0002895111172742	0.0122439076680547
C3063505	140.081773162749	1.74051778690838	0.446230977126172	3.90048624171658	9.59996819486608e-05	0.00583471120825693
C3065373	901.623405651226	-0.918554239253199	0.263260858504128	-3.4891409397983	0.000484575580438249	0.017371747041316
C3065703	114.580738181781	-1.25328700896683	0.245367060822635	-5.1078046285633	3.25923383841859e-07	0.000106713624064351
C3065937	23.5036851294871	-1.2136445581134	0.391076595400257	-3.10334234364311	0.0019134815461604	0.0404993287313319
C3066139	85.1513090077018	-0.909066950622843	0.28357488586113	-3.20573857541117	0.00134716318848026	0.0328844888988855
C3066484	105.824941905017	-1.27184113449897	0.259920973130535	-4.89318395195541	9.92175890993226e-07	0.000239775840323363
C3066838	63.3752906773986	-1.09934202545338	0.325163103159105	-3.3808941259718	0.000722503760147796	0.0218317914814494
C3066994	543.501004199221	-0.473652760181322	0.149413479796087	-3.17008050965511	0.00152396705608543	0.0348384360794303
C3070304	25.7346212503663	1.51919861919346	0.49510531370234	3.06843529477207	0.0021518292258576	0.0437696726301697
C3070614	444.402858516901	-0.986078896819823	0.275110790128402	-3.58429742562839	0.000337986766396216	0.0137222627156864
C3075250	16.557477943046	1.5041810294175	0.493384423333418	3.04869987433918	0.00229833966538003	0.0456159300032778
C3075586	475.896941070147	-0.68654625661846	0.183262905921526	-3.74623687846816	0.000179507097532697	0.00884464582503335
C3076500	479.53590629597	-0.640360350163239	0.149988048621999	-4.26940916990715	1.95991441070496e-05	0.00187671049704296
C3078690	190.440486714903	-0.815373373786788	0.217590701491235	-3.7472804131735	0.000178762209937947	0.00884464582503335
C3079284	41.9051437827307	1.07019298493314	0.31307078501059	3.4183738508112	0.000629965125583862	0.0204940577713981
C3080516	382.398276871741	0.777727650152753	0.198528223176369	3.91746643227564	8.94845017103927e-05	0.00556421718584473
C3083050	24.8144447954725	1.56606979929835	0.46877154800901	3.34079533186227	0.000835387804458325	0.0240885972024204
C3084946	41.7571057265338	1.41167495622723	0.448665815570037	3.14638402846375	0.00165302802446261	0.0367138609371892
C3085592	59.804065653786	0.899643524715501	0.274342388208114	3.27927277513177	0.00104074984925222	0.0280201882490981
C3085734	820.757848544211	-0.601689887983537	0.171652268436565	-3.50528363804231	0.000456121067091307	0.016774017503539
C3086278	8259.84900671051	-0.658500796992478	0.200260210673983	-3.28822582766826	0.00100820931882218	0.0275868198808797
C3086766	953.497424494788	-0.647398333881486	0.189807174107768	-3.41082120275342	0.000647675478236167	0.0207704750224818
C3087760	205.309581628993	1.009030239633	0.301433083899897	3.34744357380522	0.00081560589863431	0.023652571060395
C3089054	6218.48566899967	-0.757058499009401	0.185525670978215	-4.0806131842439	4.49170506942868e-05	0.00367436152201697
C3089298	110.609336681929	-0.872484676674076	0.27433430908016	-3.18037025554517	0.00147086988073566	0.0342729032880093
C3090882	381.10175482563	-0.873698905380209	0.244330586180503	-3.575888385643	0.00034904055746614	0.0140585780090529
C3093067	8631.68711167048	-0.619451237059314	0.147773399989813	-4.19189946974231	2.7662857925563e-05	0.00252953160310328
C3094429	15.5795003385304	-1.69160065213615	0.494703690483338	-3.4194219381776	0.000627543352487373	0.020480916487932
C3096309	755.368285315986	-0.648647686863153	0.172291952234856	-3.76481709359799	0.000166671039445062	0.00858527768534096
C3096879	586.536656125603	0.490005895186848	0.161956813174664	3.02553431116476	0.00248194242677998	0.0478406942788342
C3097245	51.6901667036169	1.68512263441937	0.461206466031906	3.65372725347436	0.000258460820195815	0.0115100092343548
C3098117	137.320523493392	-1.0896566737305	0.233791543293713	-4.66080448582162	3.14975818978565e-06	0.000515645897198781
C3099355	868.406452301316	-0.722056754166639	0.189488544003951	-3.81055624213137	0.000138654462450899	0.00756635910686356
C3100109	3321.1950547624	-1.08607057970099	0.228192343418342	-4.75945232618919	1.94118967870033e-06	0.000378905293054008
C3100133	146.153473810172	0.796264089629934	0.231017166494651	3.44677454802205	0.000567321799669903	0.0190187475999027
C3100407	246.497501018246	-0.738747737857874	0.204713596855658	-3.60868915990353	0.000307748081119721	0.0128018156695294
C3100669	70.7290211282155	1.01825560751281	0.337712013276339	3.01515956638357	0.00256844092090315	0.0488277979272348
C3100711	102.086475591557	-1.10546051443621	0.29497040435544	-3.74769976280104	0.000178463692590249	0.00884464582503335
C3101327	194.883882827646	0.93384241060026	0.283073526934399	3.29893939823159	0.000970508605206168	0.0269143779859087
C3102091	182.704519146269	0.670703462788181	0.21191208564847	3.16500807745706	0.00155078645889148	0.0351091701450344
C3104795	1335.4538794148	-1.11476740895248	0.269271773127727	-4.13993414907138	3.47405532757386e-05	0.00306623144129345
C3105901	419.517147351599	-0.581286453723406	0.186575561687695	-3.11555515880696	0.00183599007707411	0.0396265661334967
C3106573	1437.61821332519	-0.754830147090121	0.135267772292929	-5.58026597388992	2.40151070954535e-08	1.35418520566029e-05
C3106823	229.946900465143	0.60739648894818	0.200460484508143	3.03000609041981	0.00244548807250907	0.0473747732764061
C3107633	30.7136649141867	-1.35482507865507	0.417203931922363	-3.2473928814918	0.00116467495969291	0.0304676568063997
C3109551	1157.34576530207	0.81775708823269	0.270899025610277	3.0186785884167	0.00253879718407166	0.0485287973979799
C3109879	53.8759444576088	-0.977518890569599	0.302029517327196	-3.2365011844542	0.00121004724262248	0.031251856266204
C3110197	23.289544159949	2.38855665125562	0.595273793160243	4.01253453234526	6.00702881620105e-05	0.00429375651298878
C3110285	435.476560991745	-1.00126954632888	0.180333147365885	-5.55233223039889	2.81883206211682e-08	1.50584975949925e-05
C3110615	147.509382094091	-1.21058529953542	0.271517111030248	-4.45859671584586	8.24979713502572e-06	0.00103377087556186
C3112391	39.5924419910119	1.2880911691182	0.382427997928876	3.3681926430443	0.000756627078571224	0.022389984978128
C3112909	128.93824377706	-0.779884947993344	0.226863432322982	-3.43768468989323	0.000586710456619451	0.0193347764113228
