gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3047279	15.64191022	-2.247584861	0.568473237	-3.953721501	7.69E-05	0.000308693
C3047313	115.5878491	0.712575608	0.188741102	3.775412986	0.000159743	0.000602261
C3047337	75.51493502	-0.674502352	0.258766166	-2.606609524	0.009144357	0.02280758
C3047455	53.42339795	-0.700713953	0.288869195	-2.425713666	0.015278319	0.035502343
C3047493	32.47101941	-0.952920081	0.40214063	-2.369619008	0.017806424	0.040480687
C3047523	164.4112195	2.685003116	0.243904529	11.00841846	3.48E-28	1.45E-26
C3047539	1172.14493	1.235612812	0.177989998	6.942035079	3.86E-12	4.11E-11
C3047631	696.1993663	1.428428658	0.1134007	12.59629484	2.21E-36	1.56E-34
C3047667	64.64711072	-0.92618172	0.271323214	-3.413573448	0.000641169	0.002126908
C3047683	587.4284457	0.837345856	0.140696216	5.951445481	2.66E-09	2.05E-08
C3047799	63.22731506	2.557991385	0.341685388	7.486393846	7.08E-14	9.12E-13
C3047885	166.146853	0.676614387	0.180278647	3.753158788	0.00017462	0.000653395
C3047933	7.829941844	1.554117331	0.650644579	2.388581078	0.016913576	0.038727047
C3048071	4.958501418	-2.588230813	0.854929731	-3.027419354	0.002466515	0.00712952
C3048169	174.5939702	0.449916562	0.18539403	2.426812574	0.015232123	0.03542625
C3048309	19.03410813	1.096011443	0.409019227	2.679608611	0.007370829	0.018911671
C3048377	37.92488969	-1.394786167	0.297323174	-4.691145147	2.72E-06	1.39E-05
C3048409	520.7315783	-0.759500984	0.192699185	-3.941381393	8.10E-05	0.00032371
C3048581	61.8790639	-0.729156075	0.272966565	-2.671228521	0.007557418	0.019332445
C3048615	96.27324512	0.613737896	0.241723464	2.539008361	0.011116717	0.026958995
C3048617	2.090453698	-3.801584478	1.404781783	-2.706174384	0.006806329	0.017653623
C3048629	36.10152507	-1.071352474	0.288499724	-3.713530325	0.000204388	0.000754093
C3048667	22.7410968	-1.78081648	0.418620032	-4.254016399	2.10E-05	9.33E-05
C3048803	1.487913594	3.921228078	1.654691602	2.36976369	0.017799458	0.040480438
C3048839	443.2850886	-0.916360987	0.33889856	-2.703938861	0.00685229	0.017756477
C3048869	181.8889195	-3.055720618	0.418992168	-7.293025621	3.03E-13	3.67E-12
C3048911	27.02042837	2.517122445	0.402417644	6.255000202	3.98E-10	3.39E-09
C3048947	158.7088668	-2.134432687	0.254910852	-8.373251554	5.60E-17	9.58E-16
C3048993	267.9534885	0.75323518	0.188559027	3.994691692	6.48E-05	0.000262753
C3049015	17.87029923	1.089844693	0.442344007	2.463794414	0.013747494	0.032467526
C3049027	175.4467225	1.026235245	0.163088888	6.292490305	3.12E-10	2.70E-09
C3049031	439.1290725	-0.954546553	0.353660488	-2.699047771	0.006953819	0.017975469
C3049139	178.6487911	0.752782608	0.220913725	3.407586413	0.000655402	0.002169437
C3049147	4.983038938	4.163615926	1.191973865	3.493042968	0.00047755	0.001632538
C3049201	64.28649701	1.067305901	0.283582139	3.763656991	0.000167447	0.000628641
C3049225	464.9788105	0.740473409	0.130945407	5.654825377	1.56E-08	1.09E-07
C3049283	2.231232161	3.697280984	1.351956779	2.734762708	0.006242526	0.016334191
C3049367	118.3465578	-1.149251787	0.173114646	-6.638674508	3.17E-11	3.05E-10
C3049439	290.0636822	0.875837327	0.15691656	5.581548093	2.38E-08	1.63E-07
C3049461	61.54027822	-1.759682701	0.280163945	-6.280903502	3.37E-10	2.89E-09
C3049475	24.09616819	-1.744726588	0.453563004	-3.846712745	0.000119713	0.000463227
C3049501	356.1943258	-1.999850204	0.603980935	-3.311114783	0.000929251	0.002959382
C3049567	446.7563008	0.602788438	0.146063724	4.12688668	3.68E-05	0.000156079
C3049593	155.9414584	0.709860599	0.190525042	3.725812577	0.000194687	0.000720049
C3049765	155.267078	0.497572278	0.191031973	2.604654447	0.009196696	0.02290769
C3049791	61.48732088	1.92725713	0.270134843	7.134426302	9.72E-13	1.10E-11
C3049797	13.79010622	1.340359758	0.486758019	2.753646996	0.00589353	0.015512284
C3049821	151.6695079	1.581974178	0.249484045	6.340983359	2.28E-10	2.01E-09
C3049923	1852.456437	0.796202235	0.188002883	4.235053336	2.28E-05	0.000100998
C3049971	6.776865491	-2.6489737	0.720413361	-3.677019114	0.000235975	0.000859378
C3050065	172.5137766	1.781114294	0.209960346	8.483098483	2.19E-17	3.88E-16
C3050087	24.51601365	1.516418218	0.351820968	4.310198523	1.63E-05	7.37E-05
C3050123	69.08277666	-1.800592818	0.275718437	-6.530549205	6.55E-11	6.14E-10
C3050135	118.3663851	3.297413421	0.240240921	13.7254445	7.15E-43	7.88E-41
C3050175	338.0929338	0.69712927	0.140808378	4.950907594	7.39E-07	4.13E-06
C3050335	11.45790071	6.862873076	1.159603375	5.918293465	3.25E-09	2.49E-08
C3050373	1.841753063	4.228110788	1.488145665	2.841194171	0.004494494	0.012178954
C3050439	231.8469382	2.100429818	0.207455458	10.12472672	4.29E-24	1.29E-22
C3050481	182.0257033	0.924993387	0.18898172	4.894618319	9.85E-07	5.41E-06
C3050525	412.8611826	0.995016461	0.174954294	5.687293752	1.29E-08	9.14E-08
C3050563	36.5679137	2.062285555	0.451436504	4.5682738	4.92E-06	2.42E-05
C3050637	13.88779387	-1.49749796	0.482298922	-3.104916666	0.001903326	0.005647482
C3050645	5.980030923	-2.389902181	0.84323767	-2.8341976	0.004594092	0.012418966
C3050721	20.85023403	6.266724831	1.088582065	5.756777586	8.57E-09	6.21E-08
C3050785	389.9669997	1.154049139	0.221487919	5.210438302	1.88E-07	1.14E-06
C3050791	262.2520385	0.58853262	0.257155464	2.288625766	0.022101106	0.048850815
C3050953	14.2318252	2.8352273	0.58466783	4.849295882	1.24E-06	6.70E-06
C3050997	115.42963	2.447484273	0.259358961	9.436667478	3.85E-21	9.26E-20
C3051015	354.0312233	1.41365675	0.214948846	6.576712444	4.81E-11	4.56E-10
C3051017	139.9436895	-0.81361068	0.235504484	-3.454756645	0.00055079	0.001859218
C3051125	224.2272551	-1.127391057	0.18363432	-6.139326556	8.29E-10	6.80E-09
C3051133	39.62538356	-0.828988749	0.331243642	-2.502655579	0.012326544	0.029507569
C3051161	474.593465	2.965677689	0.188474129	15.73519773	8.68E-56	1.96E-53
C3051285	20.57659296	1.744688132	0.552616868	3.157138759	0.001593255	0.004810224
C3051317	91.71208028	0.674264963	0.245291408	2.748832369	0.005980796	0.015717496
C3051445	10.29470806	2.278581952	0.656581914	3.470369656	0.000519743	0.001764639
C3051553	19.93255221	-2.548605807	0.534148866	-4.771339914	1.83E-06	9.68E-06
C3051555	4161.859898	0.501192327	0.100971575	4.963697233	6.92E-07	3.88E-06
C3051579	121.2086805	-0.695440274	0.21174834	-3.284277338	0.001022443	0.003224568
C3051621	9.85754758	1.317414361	0.51959835	2.535447544	0.011230375	0.027195596
C3051673	125.3410381	-0.782033409	0.185436847	-4.217249282	2.47E-05	0.000108599
C3051753	611.6502679	0.892672736	0.113487168	7.865847327	3.67E-15	5.33E-14
C3051781	424.4229333	2.01558399	0.231628183	8.701808066	3.27E-18	6.17E-17
C3051879	70.05192973	0.566544651	0.233133597	2.430128725	0.015093461	0.035158213
C3051899	48.16214086	1.539384537	0.318096356	4.839365513	1.30E-06	7.02E-06
C3051907	57.54017837	-1.25194459	0.323339291	-3.87192224	0.00010798	0.000421203
C3051935	354.61565	-0.326017613	0.124942219	-2.609347061	0.009071519	0.022656004
C3052083	72.99327083	1.237372749	0.272273109	4.544601385	5.50E-06	2.69E-05
C3052207	271.2364545	-1.006222455	0.154675633	-6.505371493	7.75E-11	7.20E-10
C3052213	95.82774285	2.033995767	0.231917655	8.770336039	1.78E-18	3.43E-17
C3052219	184.8598975	-0.661323641	0.145164024	-4.555699286	5.22E-06	2.56E-05
C3052289	336.5191337	0.757789549	0.202609742	3.740143697	0.000183915	0.000684864
C3052447	85.20449946	0.554090468	0.206438437	2.684047	0.007273688	0.018696498
C3052635	649.8352958	1.720135713	0.252408079	6.814899585	9.43E-12	9.67E-11
C3052653	3.313888307	-5.264278743	1.523430536	-3.455542355	0.000549187	0.001854548
C3052701	436.2915753	0.80160802	0.193833388	4.135551811	3.54E-05	0.000150797
C3052877	12.09270981	2.783447949	0.72176473	3.856447723	0.000115047	0.000446526
C3052891	24.00979956	2.222460216	0.417288341	5.325958087	1.00E-07	6.30E-07
C3052929	52.6945997	0.998219527	0.345800398	2.886692822	0.003893141	0.010714381
C3052939	14.81255514	2.012275111	0.490052245	4.106246081	4.02E-05	0.000169334
C3053165	93.55166652	0.571113427	0.228313586	2.501443029	0.012368834	0.02958368
C3053177	675.7723029	1.315933855	0.270662739	4.861895131	1.16E-06	6.32E-06
C3053201	26.58085937	-1.890377471	0.391316405	-4.8308158	1.36E-06	7.30E-06
