gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3044031	5.876128575	-1.990306363	0.79681264	-2.497834827	0.01249544	0.02109162
C3044105	146.3258802	0.812662839	0.167275389	4.858233132	1.18E-06	3.33E-06
C3044117	1828.294137	1.202476883	0.162615973	7.394580399	1.42E-13	7.01E-13
C3044227	29.06379699	-1.663513535	0.395717565	-4.203789982	2.62E-05	6.34E-05
C3044241	3250.158374	3.126247558	0.142478818	21.94184088	1.04E-106	5.62E-105
C3044289	500.570147	-1.274868357	0.155706072	-8.187659887	2.66E-16	1.56E-15
C3044305	3231.351773	6.336235849	0.302885147	20.91959913	3.55E-97	1.65E-95
C3044349	5.177878835	5.744840791	1.22592328	4.686134022	2.78E-06	7.53E-06
C3044377	6.097162227	6.740740411	1.267920296	5.316375511	1.06E-07	3.31E-07
C3044439	40.28822451	-2.082764873	0.472357283	-4.409299803	1.04E-05	2.63E-05
C3044463	3.13811172	-4.415150687	1.342672268	-3.288330884	0.001007833	0.00199985
C3044521	5.567425477	-2.595699248	1.146244089	-2.264525743	0.023541798	0.037601142
C3044529	57.94948761	-2.730603585	0.314388727	-8.685437322	3.77E-18	2.47E-17
C3044535	68.17410758	1.029579929	0.380787331	2.703818758	0.006854767	0.012033049
C3044549	56.091663	4.997276745	0.432281396	11.56024014	6.55E-31	7.50E-30
C3044559	17.86602648	-1.943335594	0.582167837	-3.338101953	0.000843528	0.001692995
C3044561	6421.684976	1.335749918	0.136707792	9.770839655	1.50E-22	1.23E-21
C3044623	9.748107791	-1.498834067	0.680315782	-2.203144639	0.027584556	0.04345976
C3044637	42.28474918	6.773892991	0.730994313	9.266683574	1.92E-20	1.41E-19
C3044687	18.86750633	2.556459663	0.55953831	4.568873332	4.90E-06	1.29E-05
C3044717	16.8679761	-2.732327327	0.581967162	-4.694985396	2.67E-06	7.22E-06
C3044719	5.679742594	-3.073957847	1.011685434	-3.038452215	0.002377968	0.004495817
C3044743	314.965578	2.746495999	0.217747726	12.61320176	1.79E-36	2.51E-35
C3044783	125.1377777	-1.028622533	0.20788973	-4.947923758	7.50E-07	2.16E-06
C3044803	36.31683449	2.994387724	0.444858879	6.731095782	1.68E-11	7.18E-11
C3044861	16.25185921	-3.658312997	0.691335029	-5.291664451	1.21E-07	3.76E-07
C3044881	2.850741904	-3.431694144	1.320732629	-2.598326163	0.009367946	0.016143125
C3044921	29.93397551	-2.338219739	0.416976203	-5.607561593	2.05E-08	6.86E-08
C3044929	9.531979219	-3.461059955	0.926033631	-3.737509999	0.000185852	0.000406169
C3044935	444.4491132	3.560464104	0.145307486	24.50296396	1.37E-132	1.07E-130
C3044941	65.7623591	4.992253106	0.394116299	12.66695418	9.01E-37	1.28E-35
C3045011	59.74166358	-5.287879049	1.254186503	-4.21618239	2.48E-05	6.02E-05
C3045059	357.04298	-7.086423531	0.459871788	-15.40956352	1.41E-53	3.13E-52
C3045121	19.94842365	-1.389277972	0.510895697	-2.719298635	0.006542051	0.011523796
