gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3045579	445.6984144	1.434714125	0.261228527	5.492180136	3.97E-08	4.93E-06
C3045651	2315.937908	-0.551443312	0.136549721	-4.038406737	5.38E-05	0.002308755
C3045677	287.9592201	0.541429584	0.184454461	2.935302189	0.00333223	0.049814817
C3045887	81.08521097	0.644001383	0.21522743	2.992190093	0.002769837	0.044708191
C3046259	1972.863751	1.123921955	0.26471577	4.245768787	2.18E-05	0.001154934
C3046723	21.68120669	1.955069995	0.513240294	3.809268324	0.000139379	0.004863242
C3047047	276.7957629	1.056771433	0.161110738	6.55928614	5.41E-11	1.50E-08
C3047333	392.8756687	-0.493582398	0.15033261	-3.283268987	0.001026107	0.022180795
C3047337	107.8455779	-0.602260986	0.196594412	-3.063469504	0.002187865	0.037994854
C3047539	1101.102391	-1.263694951	0.15745446	-8.02578062	1.01E-15	5.72E-13
C3047727	169.8880338	0.544377984	0.174795242	3.114375299	0.001843349	0.033576749
C3048169	281.5733975	-1.643050615	0.151741225	-10.8279778	2.54E-27	5.51E-24
C3048869	540.1966401	-1.385722405	0.40011739	-3.463289623	0.000533614	0.013513378
C3049031	384.2309559	1.227359368	0.296521047	4.139198152	3.49E-05	0.001611095
C3049439	150.2593352	0.773211715	0.160944836	4.804203328	1.55E-06	0.000122068
C3051657	3235.938297	-0.500581518	0.119287418	-4.196431824	2.71E-05	0.00135333
C3051779	611.8568587	0.573417227	0.163127827	3.515140467	0.000439521	0.011723749
C3051781	121.7634988	0.823421965	0.233333162	3.528953863	0.000417206	0.011335831
C3052289	183.2163245	0.784572117	0.255870593	3.066284826	0.002167367	0.037739394
C3052527	1187.467963	0.497220237	0.129413926	3.842092211	0.00012199	0.004407184
C3053595	58.55222514	0.747064636	0.221771839	3.368618123	0.00075546	0.017500376
C3054929	14.52195293	-1.804098587	0.478280244	-3.77205333	0.00016191	0.005484742
C3055065	3014.816662	-1.283465151	0.219288646	-5.852857286	4.83E-09	7.78E-07
C3055229	59.59827919	-0.710695353	0.234331479	-3.03286334	0.002422453	0.04092439
C3057777	14.6105856	-1.78273348	0.456198191	-3.907804798	9.31E-05	0.003551791
C3058351	305.0345244	-0.542042309	0.179479397	-3.02008095	0.002527071	0.042092036
C3058757	103.2042457	-1.347637913	0.271528668	-4.963151497	6.94E-07	5.99E-05
C3059623	97.56854022	1.078288355	0.267397974	4.032522533	5.52E-05	0.002344218
C3059661	95.84345298	1.32730801	0.20061623	6.61615468	3.69E-11	1.09E-08
C3059675	310.5478576	0.703669513	0.167869639	4.191761633	2.77E-05	0.00136254
C3061311	339.0864176	0.584335863	0.15139377	3.859708773	0.000113522	0.004194212
C3061419	2317.391616	-0.897698325	0.124884569	-7.188224584	6.56E-13	2.68E-10
C3061589	84.45870159	1.384560754	0.382491793	3.619844348	0.00029478	0.00862001
C3061659	88.45621925	-1.476625168	0.347596539	-4.24810089	2.16E-05	0.001147644
C3061715	138.8650955	1.056658863	0.359758168	2.937136548	0.003312582	0.049772691
C3063139	620.6022878	-0.76291769	0.180368651	-4.229768775	2.34E-05	0.001210689
C3063615	126.4381146	0.833122295	0.254288061	3.276293394	0.001051792	0.022598807
C3064691	1591.038056	0.459362167	0.11296975	4.066240459	4.78E-05	0.002116673
C3065299	75.37795789	-1.519073359	0.283163324	-5.364654359	8.11E-08	9.04E-06
C3065907	265.4960587	0.428830487	0.144177653	2.974320077	0.002936386	0.046419814
C3066262	32.81914331	1.120661428	0.345286327	3.245600365	0.001172032	0.024301505
C3066914	307.2270358	-1.451329149	0.186338843	-7.788656023	6.77E-15	3.40E-12
C3067424	267.614199	0.434135216	0.140689107	3.085777045	0.00203021	0.036073566
C3067724	566.9982481	-0.888775772	0.263628592	-3.371317825	0.000748095	0.017360596
C3067770	417.1073577	0.591905264	0.177044154	3.343263536	0.000827992	0.018650562
C3068348	1913.459983	3.186363697	0.199669915	15.95815624	2.50E-57	3.26E-53
C3068636	85.62331221	0.71548475	0.225826565	3.168293111	0.001533368	0.02966614
C3068672	115.3061897	-0.691767886	0.229995733	-3.007742258	0.002631963	0.043340979
C3068950	289.5424984	-0.68861041	0.152333318	-4.520418906	6.17E-06	0.000423641
C3069018	137.2020675	1.873040508	0.597752753	3.133470315	0.001727524	0.031867563
C3069144	5213.454862	-0.934385	0.146893915	-6.36095103	2.01E-10	4.75E-08
C3069356	347.5347019	-0.471780569	0.135000322	-3.494662556	0.000474661	0.01238107
C3069496	782.7686271	-0.592249011	0.140626465	-4.211504636	2.54E-05	0.001297425
C3069700	441.7958737	0.457560355	0.15537209	2.944932735	0.003230249	0.049273573
C3070056	29.56084466	1.497845733	0.349681555	4.283456506	1.84E-05	0.001016901
C3070604	94.12900939	0.652970112	0.205175726	3.182492032	0.001460135	0.028679345
C3070704	164.4157697	0.808345321	0.22185699	3.643542272	0.000268911	0.007952706
C3071228	962.6493041	-0.484722588	0.129341991	-3.74760421	0.000178532	0.005941965
C3071334	73.49477573	-0.702157989	0.223140936	-3.146701818	0.001651233	0.030852974
