gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3044031	4.569697697	-2.875095642	1.103223182	-2.606087044	0.009158318	0.015345397
C3044105	71.64926516	-1.826436091	0.264894572	-6.894954764	5.39E-12	2.12E-11
C3044227	22.30607095	-5.893498884	1.037019784	-5.683111331	1.32E-08	4.01E-08
C3044239	1.32516758	4.402429003	1.828242347	2.408011723	0.016039666	0.025939691
C3044241	2111.271712	2.117922259	0.195562184	10.82991719	2.48E-27	2.31E-26
C3044289	474.1522193	-3.696612906	0.248751542	-14.86066327	5.93E-50	1.27E-48
C3044305	2725.853009	6.397438902	0.272474766	23.47901422	6.68E-122	8.18E-120
C3044311	102.407903	0.589313496	0.237154416	2.484935789	0.01295748	0.021278449
C3044331	12.92708422	1.641957518	0.477239361	3.440532472	0.000580571	0.001145509
C3044349	2.227434425	4.397668555	1.555879802	2.826483479	0.004706217	0.008223118
C3044363	6.254878123	-1.939494799	0.793621953	-2.443852255	0.014531376	0.023658806
C3044377	37.85460616	8.520331834	1.096435846	7.770935127	7.79E-15	3.71E-14
C3044439	38.32925209	-8.142527012	1.099700796	-7.404311282	1.32E-13	5.78E-13
C3044463	5.151661688	-3.686700485	1.146565193	-3.215430319	0.001302491	0.002466075
C3044479	61.43441904	-2.20655584	0.59358818	-3.717317689	0.000201349	0.000420133
C3044519	85.89295426	-1.96344677	0.281258358	-6.980936618	2.93E-12	1.18E-11
C3044529	59.96401808	-5.317511883	0.557022749	-9.546310081	1.34E-21	9.28E-21
C3044549	23.76373776	4.501325166	0.57134011	7.878538692	3.31E-15	1.61E-14
C3044563	9.650157549	2.541019891	0.816249717	3.113042295	0.001851695	0.00343661
C3044577	2.653880742	3.859563946	1.758139646	2.195254487	0.028145348	0.043661185
C3044619	191.3874071	-1.285436428	0.209330441	-6.140704727	8.22E-10	2.75E-09
C3044623	8.410470707	-3.820097818	0.932230127	-4.09780558	4.17E-05	9.37E-05
C3044637	3.866059941	2.445083778	0.956419723	2.55649661	0.01057321	0.017543522
C3044687	10.62131192	1.671108089	0.624179162	2.677289137	0.007422055	0.012593125
C3044713	7.857121984	-1.583664802	0.696576286	-2.273498013	0.022996186	0.036197887
C3044719	6.466660409	-3.420498134	0.976252704	-3.503701572	0.000458839	0.000917166
C3044743	174.4182437	1.73066798	0.304557469	5.682566203	1.33E-08	4.02E-08
C3044761	58.83733129	-1.531068173	0.32778226	-4.670991572	3.00E-06	7.49E-06
C3044791	193.5019796	1.206147842	0.271253231	4.446575018	8.73E-06	2.09E-05
C3044831	14.92147216	1.560941813	0.614857814	2.538703711	0.011126401	0.018415259
C3044861	20.82804448	-1.175890764	0.390820228	-3.008776621	0.002623019	0.004765733
C3044921	23.47571443	-3.146952412	0.483390726	-6.510162981	7.51E-11	2.72E-10
