gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3044099	2.201013518	3.974897782	1.448770808	2.743634646	0.006076312	0.011476188
C3044117	1411.921444	0.994461561	0.20682262	4.808282384	1.52E-06	4.92E-06
C3044227	21.82293916	-1.989619406	0.430648224	-4.620057144	3.84E-06	1.18E-05
C3044241	2691.398893	2.897743349	0.182305815	15.89495839	6.87E-57	2.55E-55
C3044289	512.8429061	-1.156210666	0.251378385	-4.599483222	4.24E-06	1.29E-05
C3044305	1677.818808	6.006415526	0.30311495	19.81563606	2.18E-87	1.45E-85
C3044349	2.415158696	4.816516893	1.659986606	2.901539613	0.003713338	0.007298061
C3044377	4.619440386	5.810835974	1.474634028	3.940527522	8.13E-05	0.000207943
C3044407	51.77358219	-0.990603245	0.30136507	-3.287053953	0.001012414	0.00219583
C3044439	36.7953376	-2.431777467	0.484082763	-5.023474602	5.07E-07	1.74E-06
C3044463	3.834514287	-4.508157572	1.187150217	-3.797461776	0.000146185	0.000359439
C3044529	54.12553211	-2.746459025	0.354858326	-7.739593024	9.97E-15	6.89E-14
C3044535	78.42917058	1.95361956	0.268288146	7.28179605	3.29E-13	2.02E-12
C3044549	30.24673505	5.192053404	0.597605404	8.688096478	3.69E-18	3.24E-17
C3044561	6517.34947	1.170746036	0.122075558	9.590339412	8.78E-22	9.61E-21
C3044623	8.346214267	-1.756384072	0.690961255	-2.541942921	0.011023817	0.019781628
C3044637	26.56268136	5.787346263	0.728119906	7.948342326	1.89E-15	1.38E-14
C3044687	19.30320978	3.074316594	0.548212128	5.607895988	2.05E-08	8.17E-08
C3044717	9.725414169	-3.303171197	0.870132375	-3.796170896	0.000146948	0.000361209
C3044719	4.953376079	-4.098118265	1.153419406	-3.553016574	0.00038084	0.000883996
C3044743	308.7288783	3.084561791	0.180179547	17.11937806	1.06E-65	4.78E-64
C3044783	109.3662739	-1.932208964	0.289893618	-6.665234558	2.64E-11	1.39E-10
C3044803	33.80835458	1.980695711	0.343881359	5.759822863	8.42E-09	3.50E-08
C3044861	14.04702023	-2.235554206	0.558921169	-3.999766565	6.34E-05	0.0001647
C3044881	2.786765167	-4.050451191	1.272943731	-3.181956194	0.001462839	0.003086277
C3044921	21.78010581	-1.738179218	0.422278558	-4.116191038	3.85E-05	0.000103101
C3044929	4.619077478	-4.778002253	1.154010818	-4.140344422	3.47E-05	9.34E-05
C3044935	645.4821629	4.171785381	0.159331707	26.18302063	4.15E-151	6.70E-149
C3044941	54.64369934	5.094479458	0.393015889	12.962528	2.00E-38	4.40E-37
C3044975	2.749316828	4.221544305	1.385478288	3.046994198	0.002311422	0.004710342
C3045011	54.07800773	-8.323686253	1.042382631	-7.985250334	1.40E-15	1.04E-14
C3045059	322.1619061	-4.843840083	1.242097544	-3.899725998	9.63E-05	0.000243304
C3045085	24.46868111	-1.634462759	0.483074276	-3.383460556	0.000715785	0.001593627
C3045121	30.89027813	-0.872146455	0.382970558	-2.277319851	0.022767132	0.038220565
C3045127	3.548259459	-4.400098144	1.275095325	-3.450799371	0.000558929	0.001265028
C3045213	26.69694674	4.450154797	0.487584177	9.126946711	7.05E-20	6.97E-19
C3045299	10.45543282	-3.805718675	0.936204085	-4.065052414	4.80E-05	0.000126839
C3045317	267.9024295	0.924729945	0.150315795	6.151914668	7.66E-10	3.54E-09
C3045337	3.014799851	2.754963131	0.997425227	2.762074848	0.005743531	0.010900378
C3045345	85.63438577	1.53674863	0.295056822	5.208314177	1.91E-07	6.83E-07
C3045401	41.39150053	-1.574684256	0.313636785	-5.02072566	5.15E-07	1.76E-06
C3045491	8.397008523	-2.746348258	0.850288523	-3.229901598	0.001238328	0.002645842
C3045559	29.86674845	-1.976578004	0.390618349	-5.060125842	4.19E-07	1.45E-06
C3045563	1325.625348	2.729017512	0.195306466	13.97300136	2.28E-44	6.15E-43
C3045579	226.0921591	-1.907675057	0.432843422	-4.407309801	1.05E-05	3.03E-05
C3045583	81.2070381	-1.414852481	0.349719589	-4.045676949	5.22E-05	0.000137198
C3045651	3853.646542	2.694590163	0.145613517	18.50508262	1.88E-76	1.03E-74
C3045653	1.811670372	-3.4261822	1.386043782	-2.471914845	0.013439152	0.023665758
