gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3044031	4.61522478	-4.931670247	1.162723182	-4.241482687	2.22E-05	4.15E-05
C3044105	68.0860091	-1.679809129	0.233448735	-7.195623186	6.22E-13	1.84E-12
C3044215	14.38930534	-1.133534675	0.452214933	-2.506628138	0.012188887	0.017655513
C3044227	23.7043226	-3.396914708	0.54380337	-6.246586352	4.20E-10	1.08E-09
C3044239	2.629611307	4.021188993	1.349921233	2.978832316	0.002893491	0.004501372
C3044241	2249.880465	2.558111281	0.126005081	20.30165175	1.24E-91	2.14E-90
C3044289	384.5072377	-3.162628441	0.154975918	-20.40722511	1.44E-92	2.53E-91
C3044305	2283.012579	5.855658366	0.275465263	21.2573386	2.82E-100	5.39E-99
C3044311	104.0728227	0.422140991	0.191685101	2.202262924	0.027646742	0.038253682
C3044331	12.8157689	1.281818544	0.520985082	2.460374754	0.013879201	0.019952686
C3044349	3.365258349	5.151599322	1.26754026	4.064249071	4.82E-05	8.77E-05
C3044363	6.274776047	-2.360362024	0.829936411	-2.844027559	0.004454719	0.006781481
C3044377	82.89528646	10.53306704	1.04607044	10.06917569	7.56E-24	3.54E-23
C3044407	99.80179806	1.100964545	0.189099099	5.822156469	5.81E-09	1.40E-08
C3044439	34.68418028	-3.465546464	0.456013527	-7.599657163	2.97E-14	9.40E-14
C3044463	3.260545817	-3.627607173	1.261347859	-2.875976795	0.004027793	0.006164488
C3044479	42.77805157	-2.874554388	0.387567272	-7.416917253	1.20E-13	3.67E-13
C3044519	62.69160645	-2.392809967	0.31969477	-7.484670344	7.17E-14	2.22E-13
C3044529	50.10567419	-5.90445496	0.74603939	-7.914401086	2.48E-15	8.26E-15
C3044549	22.23235767	3.623755072	0.443705572	8.167026283	3.16E-16	1.10E-15
C3044559	21.49325963	-0.87987922	0.36491411	-2.411195389	0.015900328	0.022666425
C3044561	4844.066895	0.780984193	0.124469935	6.274480631	3.51E-10	9.02E-10
C3044563	5.208278272	2.585650514	0.780256599	3.313846389	0.00092022	0.001504055
C3044619	157.7023284	-1.450644456	0.188325366	-7.702862795	1.33E-14	4.28E-14
C3044623	7.679321302	-3.517025873	0.972126271	-3.617869384	0.000297038	0.000506571
C3044637	14.02783028	5.21527403	0.863156304	6.042096903	1.52E-09	3.78E-09
C3044687	15.36700104	2.239227927	0.483266968	4.633521586	3.59E-06	7.18E-06
C3044713	6.433314356	-1.799696923	0.717651288	-2.507759621	0.012149929	0.017604771
C3044717	20.51153459	-1.207966781	0.438036187	-2.757687186	0.005821187	0.008732041
C3044719	5.158763822	-4.307794567	1.166476848	-3.6929962	0.000221627	0.000382208
C3044743	184.9967736	1.859580867	0.193132021	9.628547658	6.06E-22	2.65E-21
C3044761	43.75567182	-1.021230443	0.304188262	-3.357231592	0.000787271	0.001294947
C3044783	185.4879991	0.338909875	0.160874256	2.10667563	0.035145706	0.047986144
C3044791	188.9333595	1.439135988	0.162005328	8.883263315	6.49E-19	2.53E-18
C3044803	18.00723033	1.825627122	0.414365947	4.405832901	1.05E-05	2.03E-05
C3044861	17.02733052	-2.708012836	0.532606127	-5.084456785	3.69E-07	7.89E-07
C3044881	2.780073605	-3.363696718	1.278094078	-2.631806825	0.008493214	0.012516903
C3044921	25.54073559	-4.577017894	0.694032294	-6.594819774	4.26E-11	1.15E-10
C3044935	298.9515562	2.966295183	0.166090675	17.85949265	2.44E-71	3.25E-70
C3044941	34.63524912	4.059488391	0.442234874	9.179484987	4.33E-20	1.77E-19
C3045011	59.19884518	-4.654123221	0.483346584	-9.628956481	6.03E-22	2.64E-21
C3045085	51.42931019	1.175144471	0.264992996	4.434624647	9.22E-06	1.78E-05
C3045123	67.34849989	2.192129422	0.242499613	9.039723385	1.57E-19	6.30E-19
C3045127	1.817103617	-3.597106319	1.404085601	-2.561885341	0.010410568	0.015182944
C3045213	11.54344516	1.390993177	0.508319869	2.736452499	0.006210556	0.009283815
C3045215	2.531437347	4.736465732	1.513987395	3.128471048	0.001757183	0.002798348
C3045235	1.49545343	-3.310004074	1.474584903	-2.244702267	0.024787252	0.034512935
C3045299	9.292903781	-1.661434635	0.686302325	-2.420849493	0.015484287	0.022103323
C3045317	262.9693017	0.43015103	0.128614413	3.34450098	0.000824307	0.001353616
C3045337	2.774177332	3.082835092	1.245594378	2.474991174	0.013323947	0.019197123
C3045345	115.6513377	2.394074913	0.183561812	13.04233646	7.03E-39	5.10E-38
C3045349	140.5227034	-0.812614445	0.179449363	-4.528377438	5.94E-06	1.17E-05
C3045401	54.71850102	-0.926793619	0.250226697	-3.703815899	0.00021238	0.00036677
C3045435	29.69258919	-2.253137578	0.378813485	-5.94788113	2.72E-09	6.66E-09
C3045491	6.397862974	-2.737329592	0.948658932	-2.88547285	0.003908262	0.00599027
C3045559	34.37389495	-1.226952118	0.317589807	-3.86332335	0.000111855	0.000197736
C3045563	631.1904153	0.805403208	0.182080084	4.423345989	9.72E-06	1.87E-05
C3045579	82.13483235	-2.934253783	0.321632246	-9.123008712	7.31E-20	2.97E-19
C3045583	61.81051661	-3.603834488	0.371749851	-9.694245947	3.19E-22	1.41E-21
C3045593	17.30659968	-1.331506299	0.47536805	-2.801000824	0.005094439	0.007701652
C3045665	237.3022296	1.621502767	0.193129253	8.395945934	4.62E-17	1.67E-16
C3045671	376.3726059	2.431454163	0.135645069	17.92512019	7.51E-72	1.01E-70
C3045677	103.9227632	-1.095151258	0.232725781	-4.705758229	2.53E-06	5.11E-06
C3045685	1085.288392	4.166424147	0.133528954	31.20240241	9.88E-214	5.89E-212
C3045689	8.230502343	-5.767413122	1.111544923	-5.188646004	2.12E-07	4.61E-07
C3045717	4.763159192	-3.413516679	1.146646242	-2.976957106	0.002911247	0.004526065
C3045777	27.52122795	-2.44782424	0.568082693	-4.308922398	1.64E-05	3.10E-05
C3045795	9.964567671	1.405524546	0.59450469	2.364194212	0.018069337	0.02558707
C3045837	7.563440282	-4.12000114	1.099314528	-3.747791043	0.000178399	0.000310123
C3045849	3.881668103	-3.894713976	1.265606898	-3.077348885	0.002088507	0.003296023
C3045869	6.675893354	-3.29956581	0.967642192	-3.40990279	0.00064986	0.001076613
C3045887	73.10850651	1.499062233	0.207347263	7.229717965	4.84E-13	1.44E-12
C3045915	82.78598559	-3.290068683	0.970399981	-3.390425339	0.000697843	0.001153264
C3045917	154.6763442	-2.042982815	0.188220145	-10.85421977	1.90E-27	9.92E-27
C3045965	231.0033651	3.740763747	0.20372373	18.36194416	2.65E-75	3.74E-74
C3045991	628.4453181	1.05870905	0.146187362	7.24213799	4.42E-13	1.32E-12
C3046033	100.8857313	1.176419291	0.238733963	4.927741654	8.32E-07	1.74E-06
C3046061	42.66223643	-3.691531608	0.428985522	-8.605259194	7.61E-18	2.84E-17
C3046065	2.940955048	-4.28300418	1.238342446	-3.458658947	0.000542872	0.000905972
C3046101	45.08356118	-3.485923079	0.406910754	-8.566800074	1.06E-17	3.94E-17
C3046141	153.3056305	-0.963208144	0.200783933	-4.797237164	1.61E-06	3.30E-06
C3046201	74.12184714	3.750565695	0.322217645	11.63985199	2.58E-31	1.52E-30
C3046247	36.88097361	-2.321989884	0.346257787	-6.705957151	2.00E-11	5.52E-11
C3046259	599.3040411	-0.73540893	0.157787088	-4.660767481	3.15E-06	6.32E-06
C3046321	753.4052754	1.300418855	0.109796888	11.84385898	2.32E-32	1.41E-31
C3046323	3.131571618	-4.376628666	1.226665771	-3.56790641	0.000359845	0.000609601
C3046357	3.744273685	2.827072648	1.162079131	2.432771205	0.014983766	0.021447101
C3046359	47.33681682	-0.682061191	0.265680214	-2.567226142	0.010251573	0.01496404
C3046379	113.1685047	-0.863303386	0.173619731	-4.972380614	6.61E-07	1.39E-06
C3046431	3.846019335	2.471485308	1.044640924	2.365870656	0.017987727	0.025477943
C3046445	1.416041347	4.667322558	1.743774469	2.676563192	0.007438154	0.011035503
C3046461	79.01154721	3.955913208	0.252672214	15.65630482	3.01E-55	3.04E-54
C3046495	38.96966015	2.85387324	0.323803156	8.81360539	1.21E-18	4.67E-18
C3046525	37.58574129	-2.17470359	0.366532506	-5.933180703	2.97E-09	7.28E-09
C3046543	128.3505285	2.08912956	0.189046195	11.05089453	2.17E-28	1.16E-27
C3046557	19.47573653	-2.933372712	0.538390456	-5.448411423	5.08E-08	1.15E-07
C3046579	40.54086519	-1.143380098	0.344342708	-3.320471357	0.000898656	0.00147025
C3046581	9.564115279	5.358056337	1.030395345	5.200000529	1.99E-07	4.34E-07
C3046703	47.13495116	3.235580712	0.345304779	9.370216998	7.24E-21	3.04E-20
C3046707	43.92991728	-1.832906857	0.298343975	-6.143602733	8.07E-10	2.04E-09
C3046711	28.56824439	-4.036211797	0.569954176	-7.081642637	1.42E-12	4.15E-12
C3046719	80.92104732	-3.553245648	0.712720972	-4.985465259	6.18E-07	1.30E-06
