gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3046881	295.1368654	0.426311735	0.144405481	2.952185286	0.003155335	0.00763921
C3046883	105.129657	-1.238020087	0.210292576	-5.88713168	3.93E-09	2.03E-08
C3047027	17.98654127	-3.170102601	0.545322809	-5.813258767	6.13E-09	3.11E-08
C3047039	8.972018156	-1.352197957	0.584695941	-2.31265152	0.020741807	0.041597062
C3047045	37.43629372	-1.277932858	0.328746507	-3.887289537	0.00010137	0.000313234
C3047047	357.6426107	1.656195362	0.130241259	12.71636484	4.80E-37	1.40E-35
C3047099	104.6485051	0.669150861	0.176177437	3.79816435	0.000145772	0.00044033
C3047137	526.5210194	1.035437557	0.35979598	2.877846371	0.004004001	0.009514747
C3047203	38.94004121	-1.154905932	0.331948527	-3.479171735	0.000502966	0.001399357
C3047247	21.85438285	1.822383935	0.374127226	4.871027304	1.11E-06	4.44E-06
C3047279	9.522990888	-3.090101586	0.841291575	-3.67304473	0.000239678	0.000701369
C3047313	85.92631949	0.98427494	0.187481789	5.249976252	1.52E-07	6.66E-07
C3047329	64.1584853	-1.262342405	0.248512314	-5.079597009	3.78E-07	1.59E-06
C3047337	86.94070023	-1.334978646	0.238887585	-5.588313196	2.29E-08	1.10E-07
C3047419	2.02202356	-4.413957405	1.416721664	-3.115613685	0.001835626	0.004652646
C3047455	49.87392897	-1.156615404	0.285551301	-4.050464494	5.11E-05	0.000164713
C3047523	189.8684941	3.853720202	0.212809443	18.10878386	2.72E-73	3.32E-71
C3047539	1789.986362	0.486085732	0.141135966	3.444095405	0.000572973	0.001580607
C3047631	467.9126726	0.667627258	0.142470755	4.686065268	2.79E-06	1.06E-05
C3047683	566.8539532	1.169677378	0.157613248	7.421186941	1.16E-13	8.99E-13
C3047797	82.12871839	-0.54928592	0.230886361	-2.379031475	0.017358194	0.035396255
C3047799	90.759343	2.525886133	0.275693131	9.161948008	5.10E-20	6.07E-19
C3047885	137.8320937	0.409290596	0.178392927	2.294320767	0.021772081	0.043430752
C3047933	7.240546754	3.444386991	0.84598142	4.071468839	4.67E-05	0.000151389
