gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3044241	1611.151374	-0.633666478	0.133674939	-4.740353604	2.13E-06	6.84E-05
C3044305	602.0071816	-0.686907726	0.227783288	-3.015619506	0.002564549	0.020976692
C3044407	305.726833	-0.567500629	0.166292867	-3.412657677	0.000643327	0.007245087
C3044479	159.941306	1.2704644	0.374588338	3.391628275	0.000694786	0.007704433
C3044535	101.9257416	-0.842846083	0.185286958	-4.548868911	5.39E-06	0.00014767
C3044687	82.35618683	-1.092249415	0.211471631	-5.164992636	2.40E-07	1.07E-05
C3045059	4390.100903	0.67065185	0.149507076	4.485753244	7.27E-06	0.000188756
C3045123	126.9955929	-0.9282978	0.290436903	-3.19621161	0.001392449	0.01311829
C3045579	167.0331585	2.128843527	0.228109052	9.332569262	1.03E-20	1.29E-17
C3045593	144.3984074	0.773006093	0.212201859	3.642786624	0.000269702	0.003644835
C3045665	407.2462148	0.500207976	0.130824239	3.82351144	0.000131564	0.002079113
C3045777	20.43874131	2.089872913	0.434251487	4.812586661	1.49E-06	5.11E-05
C3046061	149.1649071	0.723449722	0.157838936	4.583468063	4.57E-06	0.000130148
C3046247	138.630446	1.333055138	0.187090274	7.125197425	1.04E-12	2.46E-10
C3046259	1747.13197	0.856053852	0.219255606	3.904364723	9.45E-05	0.001607803
C3046321	1169.646075	0.650682322	0.152912676	4.255254293	2.09E-05	0.000468018
C3046719	42.72931091	1.838431212	0.397500809	4.624974772	3.75E-06	0.000111234
C3046739	1014.119482	-0.429510581	0.109313517	-3.929162599	8.52E-05	0.001487617
C3046779	581.6442299	-0.390579246	0.118140274	-3.306063498	0.000946166	0.009787756
C3047033	82.2614316	0.639356301	0.191053326	3.346480879	0.000818443	0.008736643
C3047329	57.81026666	0.883461333	0.27534967	3.208506958	0.001334261	0.012721846
C3047523	328.5425986	-0.488679976	0.179559528	-2.721548568	0.006497684	0.041982443
C3047539	1917.168442	-0.512932404	0.163265319	-3.141710735	0.001679639	0.015107939
C3047631	797.5893275	0.651107563	0.106737114	6.100104611	1.06E-09	1.00E-07
C3047799	135.4906524	-0.685087726	0.209283104	-3.273497545	0.001062253	0.010659054
C3048831	80.03722259	0.910768621	0.344408633	2.644441907	0.008182575	0.049510535
C3048869	23.61357105	1.930804721	0.660546687	2.923040505	0.003466314	0.026024867
C3049027	270.0319381	-0.473828094	0.144955804	-3.26877628	0.001080137	0.010783286
C3049099	178.5445062	-0.481995896	0.177782666	-2.711152374	0.006704981	0.043058155
C3049199	133.3427302	1.854793089	0.213796403	8.675511205	4.12E-18	3.53E-15
C3049201	102.9549048	-0.544548536	0.182765602	-2.97949139	0.002887273	0.022866472
C3049509	902.5474882	0.311101333	0.108678911	2.86257314	0.004202163	0.030226043
C3049593	147.7436383	0.756463182	0.21088917	3.587017687	0.000334482	0.004328382
C3049629	27.64255987	0.829990036	0.310516935	2.672930014	0.007519194	0.046718255
C3049797	37.77942959	-1.574422479	0.364989936	-4.313605181	1.61E-05	0.000372152
C3049815	13.11109635	-1.882897455	0.5085009	-3.702839962	0.000213199	0.003049485
C3050065	215.528203	0.552121661	0.184089389	2.999204153	0.002706859	0.021764349
C3050233	145.644293	0.640478334	0.177417654	3.610003391	0.000306193	0.004058019
C3050791	219.7837479	1.145278279	0.175855431	6.512612514	7.39E-11	1.07E-08
C3051285	19.12867875	1.965645501	0.555093262	3.541108557	0.00039845	0.004955153
C3051657	3699.46838	-0.523389173	0.13835522	-3.782937679	0.000154988	0.00236482
C3051951	305.9465696	-0.409677656	0.130030037	-3.150638607	0.001629139	0.014760175
C3051991	32.33553555	1.183955048	0.317136818	3.733262685	0.000189015	0.002756738
